Timestamp	Untitled Question	Time of Day	Concentration	Goal for class	Learning Style	Astrological Sign	When do you get to the meeting? -5 = five minutes early
1/22/2019 14:30:46	North	Evening, Late		A	Visual, Kinesthetic	Virgo	-5
1/22/2019 14:30:56	West	Morning, Evening	Not an Info Sci major	A	Smell	Astrology is BS	2
1/22/2019 14:31:03	North	Late, Really Really Late	Data Science	A	Audio, Kinesthetic	Gemini	+5
1/22/2019 14:31:03	North	Afternoon, Evening, Late	Interactive Tech, Data Science	A+	Visual, Audio	Taurus	-10
1/22/2019 14:31:07	Collegetown	Late, Really Really Late	Law	A	Smell	Virgo	0
1/22/2019 14:31:08	Collegetown	Afternoon, Evening	Interactive Tech & Data Science (Maybe)	A	Visual, Kinesthetic	Gemini	-15
1/22/2019 14:31:10	Collegetown	Evening	UX	A+	Visual, Kinesthetic	Leo	-2
1/22/2019 14:31:12	Collegetown	Evening, Late	Econ + Info Sci	A+	Visual, Audio	Capricorn	-5
1/22/2019 14:31:14	West	Morning, Late	Behavioral Science 	A+	Visual, Audio, Kinesthetic	Leo	-5
1/22/2019 14:31:15	Collegetown	Evening		A	Visual	Aquarius	5
1/22/2019 14:31:15	Collegetown	Morning	undecided	B	Smell	Aries	-10
1/22/2019 14:31:15	Collegetown	Afternoon, Evening	UX + Ethics, Law and Policy	A-	Visual	Gemini	-5
1/22/2019 14:31:16	West	Afternoon, Evening	Data Sci	A-	Smell	Aquarius	0
1/22/2019 14:31:16	North	Afternoon, Evening, Late	Data Science	A+	Audio	Aquarius	0
1/22/2019 14:31:16	West	Evening	User Experience	A	Visual, Audio	Taurus	2
1/22/2019 14:31:17	Collegetown	Evening, Late, Really Really Late		A	Visual, Audio, Kinesthetic, Smell	Sagittarius	+10
1/22/2019 14:31:17	West	Afternoon, Evening, Late		A	Visual	Aquarius	-3
1/22/2019 14:31:18	Collegetown	Afternoon, Late, Really Really Late	Digital Culture and Production	A	Visual	Libra	0
1/22/2019 14:31:19	Collegetown	Morning, Evening		A-	Visual, Kinesthetic	Sagittarius	-1
1/22/2019 14:31:19	West	Afternoon, Evening		A+	Visual, Audio	Taurus	0
1/22/2019 14:31:21	Llenroc	Afternoon, Evening, Late, Really Really Late	Low	A	Visual, Audio	Virgo	+10
1/22/2019 14:31:23	West	Evening, Late	Interactive Technologies	A-	Visual, Kinesthetic	Capricorn	5 minutes late
1/22/2019 14:31:24	Collegetown	Evening	Networks	A	Visual	Sagittarius	0
1/22/2019 14:31:25	West	Really Really Late	Data Science	A	Visual	Pisces	-60
1/22/2019 14:31:26	Collegetown	Morning, Late	UX	A+	Kinesthetic	Aquarius	-5
1/22/2019 14:31:28	North	Afternoon, Evening	UX	A+	Visual	Libra	0
1/22/2019 14:31:29	Collegetown	Afternoon, Late	Data Science	A	Visual	Cancer	+5
1/22/2019 14:31:30		Evening, Late, Really Really Late	IS	A-	Audio	Capricorn	10
1/22/2019 14:31:31	Collegetown	Afternoon	The policy one	A	Visual, Audio	Virgo	-7
1/22/2019 14:31:31	Collegetown	Evening, Late		A	Visual	Libra	0
1/22/2019 14:31:31	Off-campus but across the street from West	Evening, Late	Data Science	A+	Visual, Audio	Leo	-10
1/22/2019 14:31:33	Collegetown	Evening, Late, Really Really Late	Data sci 	A+	Visual, Audio	Aquarius	0
1/22/2019 14:31:34	North	Morning, Afternoon	Not sure 	A	Visual	Sagittarius	10
1/22/2019 14:31:35	Collegetown	Afternoon, Evening	UX	A+	Visual	Pisces	-5
1/22/2019 14:31:35	North	Evening		A	Visual	Capricorn	-3
1/22/2019 14:31:37	West	Morning, Afternoon, Evening	Data Science	A+	Smell	Capricorn	5
1/22/2019 14:31:37	West	Afternoon, Evening, Late	Data science 	A+	Visual, Audio	Pisces	5
1/22/2019 14:31:38	West	Evening	ux	A	Visual, Kinesthetic	Cancer	5 minutes late
1/22/2019 14:31:39	North	Morning, Late	Data Science 	A	Kinesthetic	Libra	-5
1/22/2019 14:31:42	West	Morning, Evening	Data Science	A+	Visual, Audio	Cancer	0
1/22/2019 14:31:42	Schuyler (Downtownish)	Evening	?	A+	Visual	Scorpio	5
1/22/2019 14:31:43	Collegetown	Evening, Late	UX	A+	Visual, Audio	Aries	exactly on time on the second
1/22/2019 14:31:44	North	Evening, Late	Information Science	A	Visual	Cancer	-10
1/22/2019 14:31:44	West	Evening, Late	UX	A	Visual, Audio	Capricorn	10
1/22/2019 14:31:46	Collegetown	Evening, Late	UX and Data Science	A+	Visual	Libra	on time
1/22/2019 14:31:48	Collegetown	Evening, Late	Ethics Law and Policy	A+	Visual	Taurus	on time
1/22/2019 14:31:48	West	Morning, Evening	Data Science	A	Visual, Audio, Kinesthetic	Virgo	-5
1/22/2019 14:31:50	West	Afternoon, Evening, Late, Really Really Late	Data Science	A	Visual	Pisces	0
1/22/2019 14:31:52	Collegetown	Evening, Late	Data Science	A	Visual, Kinesthetic	Capricorn	-2
1/22/2019 14:31:52	West	Afternoon, Evening, Late	Data Science	A	Kinesthetic	Aquarius	10
1/22/2019 14:31:53	Collegetown	Evening, Late	Not Info Sci	A	Visual	Cancer	-5
1/22/2019 14:31:54	West	Afternoon, Evening	Human Behavior 	A	Visual, Kinesthetic	Aquarius	3
1/22/2019 14:31:55	Collegetown	Afternoon, Evening, Late	IT	A+	Visual, Audio	Libra	-10
1/22/2019 14:31:57	West	Evening	Data Science	B	Audio	Capricorn	3
1/22/2019 14:31:59	Collegetown	Evening	IT	A	Visual	Taurus	on time or 5 mins late
1/22/2019 14:32:01	Collegetown	Evening, Late, Really Really Late	Data Science	A+	Visual	Aquarius	0
1/22/2019 14:32:04		Late		B	Kinesthetic		5
1/22/2019 14:32:04	Collegetown	Really Really Late	UX and Data Science	A+	Visual, Audio	Pisces	+15
1/22/2019 14:32:04	West	Evening, Late, Really Really Late	Quantitative	A	Visual	Pisces	+1
1/22/2019 14:32:06	West	Afternoon, Evening	Data Science 	A+	Visual, Audio, Kinesthetic, Smell	Taurus	-5
1/22/2019 14:32:06	Collegetown	Evening, Late, Really Really Late	UX	A+	Visual, Audio, Kinesthetic	Cancer	5
1/22/2019 14:32:07	Collegetown	Late, Really Really Late	Data Science	A	Visual	Pisces	-5
1/22/2019 14:32:07	Collegetown	Afternoon, Evening		A	Visual	Pisces	-5
1/22/2019 14:32:08	Collegetown	Evening, Late, Really Really Late	Interactive Technology	A	Visual	Cancer	-5
1/22/2019 14:32:09	West	Evening, Late	undecided	A	Visual, Kinesthetic	Taurus	0
1/22/2019 14:32:09	West	Really Really Late	UX/UI	A+	Kinesthetic	Aries	5
1/22/2019 14:32:09	Collegetown	Evening, Late, Really Really Late	Data Science		Visual, Audio, Kinesthetic	Cancer	1
1/22/2019 14:32:09	North	Evening, Late	UX	A	Visual	Libra	-5
1/22/2019 14:32:10	West	Afternoon, Evening, Late	UX	A+	Visual, Kinesthetic	Sagittarius	-3
1/22/2019 14:32:10	West	Evening	Digital Culture and Production	A-	Visual, Audio, Kinesthetic	Scorpio	-5
1/22/2019 14:32:11	Collegetown	Morning, Late		A-	Visual	Scorpio	0
1/22/2019 14:32:11	Collegetown	Morning, Afternoon, Evening, Late, Really Really Late	Idk	A+	Kinesthetic, Smell	Libra	+15
1/22/2019 14:32:12	West	Late, Really Really Late	UX	A+	Visual	Aquarius	5
1/22/2019 14:32:12	Collegetown	Evening, Late	Data Science and Interactive Technology	A-	Visual, Smell	Libra	0
1/22/2019 14:32:13	West	Evening		A	Visual	Aries	-10
1/22/2019 14:32:15	West	Afternoon, Evening, Late	Data Science	A	Kinesthetic	Cancer	-3
1/22/2019 14:32:16	West	Evening	Data Science	A+	Visual	Scorpio	Five minutes early
1/22/2019 14:32:17	West	Evening, Late		A+	Visual, Kinesthetic	Pisces	0
1/22/2019 14:32:19	West	Evening		A+	Kinesthetic	Big Dipper	-5
1/22/2019 14:32:20	North	Evening, Late, Really Really Late	Info-sci	A+	Visual, Kinesthetic	Scorpio	0
1/22/2019 14:32:20	Collegetown	Evening, Late, Really Really Late	Data Science 	A	Visual, Audio, Kinesthetic, Smell	Pisces	0
1/22/2019 14:32:21	West	Late		A	Visual	Pisces	-10
1/22/2019 14:32:22	Collegetown	Afternoon, Evening, Late		A	Visual, Smell	Aries	10
1/22/2019 14:32:22	Collegetown	Late	Operations research  major	A+	Smell	Taurus	-10
1/22/2019 14:32:22	North	Evening		A	Visual	Aries	0
1/22/2019 14:32:25	Collegetown	Morning, Afternoon	Behavioral Science	A+	Visual	Gemini	20
1/22/2019 14:32:25	Collegetown	Late	data science 	A+	Visual	Sagittarius	+15
1/22/2019 14:32:25	West	Evening, Late	Networks	A	Kinesthetic	Leo	5
1/22/2019 14:32:26	Collegetown	Evening, Late, Really Really Late	UI/UX	A	Visual	Capricorn	-2
1/22/2019 14:32:26	Collegetown	Evening	Data Science	A+	Visual	Aries	+1
1/22/2019 14:32:26	West	Afternoon, Evening	UX	A	Visual	Aries	-5
1/22/2019 14:32:27	West	Evening	Computer Science	A+	Visual	Virgo	-2
1/22/2019 14:32:28	Collegetown	Morning, Evening, Late	Data Science 	A+	Visual	Taurus	-15
1/22/2019 14:32:29	Collegetown	Morning, Evening, Late	Interactive Technologies	A	Visual, Audio	Capricorn	-5
1/22/2019 14:32:30	West	Afternoon, Evening, Late, Really Really Late	Info Sci	A+	Visual, Audio	Gemini	-10
1/22/2019 14:32:31	North	Evening, Late, Really Really Late	Data Science	A+	Visual	Cancer	-7
1/22/2019 14:32:31	North	Afternoon, Evening, Late	idk	A	Audio	Taurus	2
1/22/2019 14:32:32	Collegetown	Morning, Evening, Late, Really Really Late	Interactive tech and data sci 	A-	Visual, Audio	Pisces	0
1/22/2019 14:32:33	Collegetown	Evening		A	Visual	Capricorn	-30
1/22/2019 14:32:33	Collegetown	Evening	Econ	A	Visual	Taurus	0
1/22/2019 14:32:35	North	Really Really Late	Data Science	A	Visual	Taurus	-7
1/22/2019 14:32:35	West	Evening		A+	Visual	Capricorn	0
1/22/2019 14:32:35	Collegetown	Really Really Late		A	Smell	Scorpio	-1
1/22/2019 14:32:35	West	Afternoon, Evening, Late, Really Really Late	UX	A	Visual, Audio	Cancer	5
1/22/2019 14:32:36	North	Evening, Late	Networks	A	Visual	Capricorn	5-10 mins late
1/22/2019 14:32:36	Collegetown	Morning, Evening, Late, Really Really Late		A	Visual	Taurus	10
1/22/2019 14:32:37	Collegetown	Evening		A+	Visual	Pisces	-5
1/22/2019 14:32:38	Collegetown	Evening, Late	UX	A	Visual	Scorpio	-1
1/22/2019 14:32:38	Collegetown	Evening, Late		A+	Visual	Libra	right on time
1/22/2019 14:32:39	North	Evening	Data Science	B	Smell	Cancer	5 minutes late or so
1/22/2019 14:32:41	West	Morning, Evening, Late	Interactive technologies, data science	A+	Visual, Kinesthetic	Pisces	0
1/22/2019 14:32:43	West	Late, Really Really Late	Info sci	A	Visual	Scorpio	5
1/22/2019 14:32:44	West	Evening, Late	Data Science; UI/UX; Interactive Tech	A+	Visual, Audio, Kinesthetic, Smell	Aries	8
1/22/2019 14:32:45	West	Evening, Late, Really Really Late	Data Science	A	Visual	Aries	+10
1/22/2019 14:32:45	Collegetown	Late		A	Audio	Libra	+5
1/22/2019 14:32:46	Collegetown	Evening		A-	Audio	Libra	-5
1/22/2019 14:32:48	Collegetown	Evening	data science 	A	Visual, Audio, Kinesthetic	Libra	0
1/22/2019 14:32:49	Collegetown	Afternoon, Evening, Late, Really Really Late		A	Visual, Audio	Leo	Like to start work pretty early but usually 5 minutes late to a meeting
1/22/2019 14:32:49	Collegetown	Evening	User Experience	A	Visual	Taurus	0
1/22/2019 14:32:50	Collegetown	Late	Infosci ux	A	Visual	Leo	-2
1/22/2019 14:32:52	Collegetown	Late	None	A	Visual	Pisces	-5
1/22/2019 14:32:52	Collegetown	Morning, Afternoon, Evening		A	Visual	Aquarius	On time
1/22/2019 14:32:58	Collegetown	Evening, Late		A+	Smell	Capricorn	0
1/22/2019 14:32:59	Collegetown	Evening	UX and Data Science	A+	Visual, Audio	Pisces	+5
1/22/2019 14:32:59	Collegetown	Morning, Evening, Late	Digital Culture and Production; UX	A	Visual, Audio	Aries	+5
1/22/2019 14:33:04	West	Late	Data Science	A	Kinesthetic	Gemini	0
1/22/2019 14:33:05	West	Evening, Late	Data science	A+	Visual	Libra	-2
1/22/2019 14:33:05	West	Late	UX	A-	Visual, Audio	Cancer	-2
1/22/2019 14:33:07	Collegetown	Evening, Late, Really Really Late	UX Design	A-	Visual	Leo	5 minutes late
1/22/2019 14:33:08	Collegetown	Evening, Late, Really Really Late	UX	A-	Visual	Taurus	10
1/22/2019 14:33:09	West	Afternoon, Evening, Late	Unknown	A+	Visual, Audio, Smell	Aries	-5
1/22/2019 14:33:10	Collegetown	Evening, Late, Really Really Late		A+	Visual, Kinesthetic	Libra	on time
1/22/2019 14:33:13	Collegetown	Evening, Late, Really Really Late	UX	A	Visual, Smell	Cancer	on time
1/22/2019 14:33:14		Late	Data Science	A	Visual, Audio, Kinesthetic, Smell	Capricorn	-3
1/22/2019 14:33:20	West	Afternoon, Evening	UX	A+	Visual, Kinesthetic	Taurus	+5
1/22/2019 14:33:21	West	Evening, Late, Really Really Late	ux	A+	Visual	Aquarius	-5
1/22/2019 14:33:23	West	Afternoon, Really Really Late	dfgsdfgaaaaaaaaaaaaaaaaaaaaaaaaa	A+	Smell	Capricorn	rrrrrrrrrrrrrrrrrrrrrrrrffffffffffffffffffffffffffffffffffffffffffff
1/22/2019 14:33:24	Collegetown	Morning	UX Design	A+	Visual	Aquarius	Spot on
1/22/2019 14:33:26	North	Evening, Late, Really Really Late	Data science	A	Visual	Scorpio	-10
1/22/2019 14:33:28	Collegetown	Evening, Late	Ethics law and policy 	A	Audio	Capricorn	-30
1/22/2019 14:33:32	West	Morning, Afternoon, Evening, Late, Really Really Late	Networks	A+	Visual, Audio, Kinesthetic, Smell	Leo	Elvis Wambua
1/22/2019 14:33:36	West	Afternoon, Evening, Late, Really Really Late	UX/UI	A	Visual	Pisces	0
1/22/2019 14:33:36	West	Afternoon	data science	A	Visual	Aquarius	-2
1/22/2019 14:33:38	North	Afternoon	Interactive Technologies	A	Visual	Cancer	0
1/22/2019 14:33:44	Collegetown	Evening, Late		A	Visual	Sagittarius	0
1/22/2019 14:33:51	North	Afternoon	Data Science	A	Visual	Virgo	0
1/22/2019 14:33:51	Collegetown	Evening	Data science	A+	Kinesthetic	Scorpio	-5
1/22/2019 14:33:55	Collegetown	Evening		A+	Visual	Capricorn	0
1/22/2019 14:34:20	Gunhill Apartments	Evening, Late	HCI	B	Visual, Audio, Kinesthetic	Ligma	-10
1/22/2019 14:34:28	North	Evening, Late, Really Really Late	Interactive Technologies 	A	Visual	Sagittarius	Yes
1/22/2019 14:34:36	West	Evening, Late	Finance (AEM), Data Sci (INFO SCI)	A	Visual	Libra	-15
1/22/2019 14:34:36	West	Afternoon, Evening	Data Science	A	Visual	Pisces	0
1/22/2019 14:34:37	Collegetown	Evening, Late, Really Really Late		A+	Visual	Capricorn	-5
1/22/2019 14:34:51	West	Afternoon, Evening, Late	User Experience	A	Visual	Pisces	5
1/22/2019 14:35:00	Collegetown	Morning, Late	UX	B	Visual	Cancer	20
1/22/2019 14:35:02	West	Afternoon		A	Kinesthetic	Sagittarius	0
1/22/2019 14:36:01	Collegetown	Morning, Afternoon, Evening		A	Visual	Aries	
1/22/2019 14:36:12	Collegetown	Morning, Afternoon, Evening, Late		A+	Visual	Capricorn	on time